# Directed graph: rock_graph.txt 
# Save as tab-separated list of edges
# Nodes: 150 Edges: 20283
# FromNodeId	ToNodeId
46	108
108	78
78	128
128	46
46	14
14	78
78	147
147	123
123	46
46	108
108	78
78	128
128	46
46	14
14	78
78	147
147	123
123	46
46	108
108	78
78	128
128	46
46	14
14	78
78	123
123	46
46	123
123	112
112	46
46	123
123	112
112	46
46	17
17	123
123	108
108	123
123	112
112	46
46	47
47	17
17	123
123	46
46	112
112	17
17	147
147	46
46	108
108	78
78	128
128	46
46	14
14	78
78	147
147	46
46	108
108	78
78	128
128	46
46	14
14	78
78	147
147	123
123	46
46	123
123	112
112	46
46	123
123	112
112	17
17	147
147	112
112	46
46	123
123	112
112	46
46	123
123	17
17	123
123	108
108	123
123	112
112	108
108	147
147	14
14	36
36	112
112	147
147	46
46	108
108	78
78	128
128	46
46	112
112	78
78	128
128	46
46	14
14	78
78	147
147	123
123	46
46	123
123	112
112	46
46	123
123	112
112	46
46	123
123	112
112	46
46	123
123	112
112	46
46	123
123	46
46	123
123	17
17	46
46	123
123	17
17	112
112	46
46	123
123	17
17	112
112	46
46	17
17	123
123	108
108	123
123	112
112	46
46	108
108	78
78	147
95	25
25	131
131	67
67	53
53	5
5	88
88	28
28	53
53	5
5	88
88	28
28	53
53	5
5	88
88	28
28	53
53	5
5	88
88	28
28	5
5	28
28	53
53	5
5	88
88	28
28	53
53	5
5	88
88	28
28	53
53	5
5	88
88	28
28	5
5	28
28	88
88	28
28	53
53	28
28	5
5	88
88	28
28	88
88	28
28	53
53	28
28	5
5	88
88	28
28	5
5	88
88	28
28	88
88	28
28	53
53	28
28	5
5	88
88	28
28	88
88	28
28	53
53	28
28	5
5	88
88	28
28	5
5	88
88	28
28	53
53	5
5	88
88	28
28	53
53	5
5	88
88	141
141	53
53	5
5	88
88	141
141	5
5	28
28	88
88	28
28	53
53	28
28	5
5	88
88	28
28	5
5	88
88	61
61	53
53	5
5	88
88	28
28	53
53	5
5	88
88	28
28	53
53	5
5	88
88	28
28	53
53	5
5	88
88	28
28	5
5	28
28	5
5	88
88	28
46	123
123	46
46	123
123	59
59	46
46	123
123	102
102	46
46	123
123	46
46	123
123	59
59	46
46	123
123	59
59	102
102	123
123	59
59	46
46	102
102	123
123	59
59	46
46	123
123	46
46	123
123	59
59	46
46	123
123	102
102	46
46	123
123	102
102	123
123	46
46	102
102	123
123	59
59	102
102	123
123	59
59	46
46	102
102	123
123	59
59	102
102	123
123	59
59	46
46	102
102	123
123	59
59	123
123	59
59	102
102	123
123	59
59	102
102	123
123	59
59	102
102	46
46	123
123	59
59	46
46	123
123	46
46	123
123	59
59	46
46	123
123	102
102	46
46	123
123	102
102	123
123	46
46	102
102	123
123	59
59	102
102	123
123	59
59	46
46	102
102	123
123	59
59	102
102	123
123	59
59	46
46	102
102	123
123	59
59	102
102	123
123	59
59	46
46	102
102	123
123	59
59	102
102	123
