# Directed graph: ../data/song_graphs/jazz_graphs/48.txt 
# Save as tab-separated list of edges
# Nodes: 241 Edges: 51
# FromNodeId	ToNodeId
87	35
35	133
133	118
118	87
87	35
35	61
61	133
133	194
194	84
84	133
133	198
198	87
87	35
35	133
133	118
118	87
87	35
35	61
61	133
133	194
194	84
84	223
223	45
45	173
173	185
185	223
223	183
183	173
173	141
141	231
231	89
89	191
191	221
221	231
231	93
93	174
174	202
202	87
87	35
35	133
133	118
118	87
87	35
35	61
61	133
133	194
194	84
84	35
35	111
111	117
117	106
