# Directed graph: ../data/song_graphs/rock_graphs/98.txt 
# Save as tab-separated list of edges
# Nodes: 139 Edges: 94
# FromNodeId	ToNodeId
33	5
5	121
121	61
61	33
33	5
5	33
33	5
5	33
33	5
5	33
33	5
5	33
33	5
5	121
121	5
5	33
33	5
5	121
121	5
5	33
33	5
5	121
121	5
5	33
33	5
5	121
121	5
5	33
33	61
61	5
5	121
121	33
33	61
61	5
5	121
121	33
33	5
5	121
121	5
5	33
33	5
5	121
121	5
5	33
33	5
5	121
121	5
5	33
33	5
5	121
121	5
5	33
33	61
61	5
5	121
121	33
33	61
61	5
5	121
121	33
33	5
5	121
121	5
5	33
33	5
5	121
121	5
5	33
33	61
61	5
5	121
121	33
33	61
61	5
5	121
121	33
33	61
61	5
5	121
121	33
33	61
61	5
5	121
121	33
33	5
5	33
33	5
5	33
33	5
5	33
33	5
5	33
33	5
5	33
