# Directed graph: jazz_graph.txt 
# Save as tab-separated list of edges
# Nodes: 241 Edges: 1540
# FromNodeId	ToNodeId
0	2
0	3
0	29
0	65
0	79
0	107
0	142
0	209
1	17
2	35
2	133
2	142
3	5
3	14
3	19
3	39
3	52
3	72
3	80
3	84
3	105
3	107
3	108
3	111
3	129
3	133
3	135
3	164
3	170
3	186
3	187
3	188
3	197
3	198
3	211
3	224
3	230
4	133
5	3
5	12
5	108
5	111
5	129
5	133
6	8
6	22
6	133
7	132
8	22
9	3
9	28
10	111
10	133
10	135
11	133
12	28
12	107
12	109
12	111
12	133
12	160
13	14
13	112
13	129
13	133
13	137
14	19
14	40
14	84
14	87
14	108
14	110
14	111
14	112
14	129
14	131
14	132
14	133
14	135
14	139
15	23
15	84
15	133
15	135
15	152
15	157
15	188
16	133
17	195
17	233
18	15
18	23
18	133
18	188
19	84
19	87
19	105
19	108
19	112
19	113
19	125
19	133
19	135
19	154
19	198
19	233
19	236
20	198
21	198
22	84
22	105
22	125
22	133
22	205
22	235
23	15
23	18
23	113
23	154
24	31
24	35
25	31
25	35
25	111
25	232
25	233
26	115
26	119
26	123
26	224
26	229
26	233
27	117
28	15
28	18
28	108
28	125
28	130
28	133
28	135
28	143
28	154
28	182
28	188
28	198
29	142
30	40
30	133
31	0
31	3
31	13
31	15
31	33
31	34
31	35
31	36
31	45
31	52
31	61
31	79
31	80
31	84
31	97
31	108
31	111
31	121
31	129
31	131
31	133
31	135
31	142
31	143
31	149
31	151
31	166
31	168
31	169
31	170
31	172
31	174
31	176
31	178
31	181
31	187
31	191
31	193
31	198
31	224
31	225
31	233
31	236
32	80
32	218
32	225
33	34
34	3
34	12
34	31
34	35
34	45
34	57
34	70
34	80
34	83
34	108
34	111
34	131
34	133
34	168
34	172
34	181
34	225
34	233
35	3
35	14
35	17
35	19
35	22
35	26
35	30
35	31
35	34
35	38
35	45
35	54
35	61
35	68
35	69
35	79
35	80
35	84
35	89
35	102
35	107
35	108
35	110
35	111
35	112
35	127
35	129
35	133
35	135
35	137
35	143
35	154
35	157
35	168
35	170
35	178
35	181
35	187
35	191
35	197
35	200
35	224
35	225
35	233
36	35
37	31
37	108
37	112
37	133
37	172
37	178
37	233
38	108
38	133
39	25
39	111
39	133
39	137
39	178
39	225
40	2
40	14
40	35
40	66
40	79
40	80
40	108
40	111
40	123
40	164
40	172
41	69
42	108
42	188
43	87
43	88
44	88
45	26
45	79
45	80
45	84
45	88
45	105
45	108
45	113
45	115
45	133
45	140
45	142
45	168
45	169
45	170
45	173
45	180
45	188
45	197
45	198
45	233
45	237
46	100
47	45
48	170
49	142
50	170
51	61
51	140
52	80
52	133
52	142
52	143
52	150
52	168
52	170
52	172
52	173
52	181
52	191
53	131
53	133
54	3
54	5
54	31
54	165
54	170
55	43
55	64
55	67
55	69
55	87
56	31
56	44
57	3
57	19
57	34
57	35
57	58
57	84
57	87
57	89
57	105
57	152
57	153
57	154
57	164
57	165
57	170
57	172
57	178
57	188
57	198
57	230
58	3
59	209
60	170
61	6
61	12
61	14
61	31
61	35
61	55
61	84
61	105
61	108
61	133
61	152
61	153
61	165
61	170
62	153
63	35
64	57
65	142
66	79
67	174
68	89
69	35
69	154
69	155
69	157
69	164
69	174
70	147
71	80
72	3
72	7
72	35
72	69
72	80
73	13
74	226
75	31
76	142
77	142
78	39
78	148
79	35
79	40
79	45
79	63
79	98
79	139
79	142
79	143
79	146
79	148
79	191
80	31
80	57
80	142
80	143
80	144
80	146
80	149
80	150
80	170
80	178
81	142
