# Directed graph: rock_graph.txt 
# Save as tab-separated list of edges
# Nodes: 139 Edges: 897
# FromNodeId	ToNodeId
0	3
0	11
0	13
0	24
0	27
0	32
0	39
0	40
0	44
0	55
0	61
0	67
0	70
0	76
0	81
0	95
0	101
0	110
0	114
0	121
0	123
0	127
1	33
2	39
3	55
3	70
3	117
3	132
4	101
5	0
5	6
5	12
5	13
5	17
5	27
5	33
5	37
5	44
5	50
5	51
5	53
5	55
5	61
5	64
5	67
5	76
5	81
5	82
5	83
5	101
5	108
5	109
5	114
5	117
5	121
6	44
7	44
7	47
7	57
7	67
8	61
9	13
10	13
10	44
10	45
10	78
10	129
10	133
11	0
11	39
11	67
11	88
11	128
12	5
13	5
13	10
13	14
13	17
13	22
13	27
13	35
13	39
13	44
13	46
13	47
13	53
13	55
13	57
13	70
13	72
13	75
13	76
13	78
13	95
13	96
13	100
13	101
13	105
13	108
13	110
13	112
13	114
13	116
13	117
13	127
13	131
13	133
14	17
15	55
15	70
16	101
17	13
17	18
17	44
17	47
17	55
17	57
17	58
17	59
17	70
17	75
17	102
17	105
17	114
17	117
17	138
18	102
18	136
19	78
20	49
20	105
20	121
21	5
21	33
21	76
22	23
22	49
23	13
24	0
24	13
24	19
24	27
24	38
24	39
24	44
24	61
24	62
24	67
24	76
24	81
24	88
24	101
24	114
24	121
25	28
26	13
26	57
26	62
26	76
26	95
26	96
27	0
27	5
27	13
27	24
27	33
27	36
27	37
27	44
27	47
27	49
27	50
27	51
27	53
27	55
27	70
27	72
27	78
27	81
27	82
27	90
27	91
27	92
27	97
27	101
27	104
27	114
27	131
27	132
28	115
29	47
29	55
29	81
30	101
31	0
31	55
31	96
32	0
32	17
32	39
33	5
33	27
33	50
33	57
33	61
33	81
33	88
33	89
33	101
33	121
33	124
34	81
35	4
35	105
36	27
37	5
37	27
37	81
38	24
38	117
39	0
39	31
39	42
39	44
39	55
39	61
39	67
39	73
39	76
39	78
39	95
39	101
39	114
39	121
39	123
39	126
39	127
39	130
40	31
40	68
40	78
41	35
42	39
42	43
43	24
43	39
43	121
44	0
44	5
44	9
44	10
44	13
44	16
44	17
44	22
44	24
44	26
44	27
44	30
44	39
44	40
44	45
44	46
44	47
44	48
44	50
44	52
44	53
44	54
44	55
44	57
44	61
44	62
44	70
44	71
44	72
44	76
44	78
44	81
44	86
44	95
44	100
44	101
44	102
44	103
44	104
44	105
44	108
44	110
44	111
44	112
44	114
44	117
44	118
44	129
44	130
44	131
44	133
44	135
44	138
45	17
45	25
45	44
45	58
45	81
45	114
46	44
46	105
46	110
46	114
46	137
47	0
47	7
47	13
47	82
47	101
48	101
49	13
49	20
49	44
49	52
49	55
49	60
49	103
49	105
50	5
50	27
50	33
50	34
50	57
50	61
50	81
50	101
50	108
50	114
50	131
51	5
51	27
51	61
51	131
52	13
52	44
52	47
52	49
52	70
52	76
52	101
53	5
53	44
53	76
53	102
53	114
53	138
54	44
55	0
55	2
55	13
55	26
55	39
55	44
55	49
55	57
55	66
55	70
55	74
55	76
55	78
55	80
55	81
55	95
55	96
55	101
55	104
55	105
55	108
55	114
55	123
55	127
55	128
55	131
55	138
56	50
57	13
57	17
57	24
57	26
57	39
57	44
57	59
57	62
57	70
57	87
57	101
57	105
57	108
57	114
57	117
57	127
57	131
58	17
58	44
58	101
58	105
59	57
59	101
60	119
61	1
61	5
61	11
61	24
61	33
61	34
61	44
61	47
61	50
61	67
61	81
61	88
61	89
61	101
61	114
61	121
62	29
62	44
62	47
62	83
62	95
62	120
62	127
63	61
63	109
64	5
64	81
64	109
65	70
65	101
66	70
66	94
66	101
67	0
67	5
67	11
67	24
67	26
67	55
67	76
67	81
67	95
67	114
67	123
67	128
68	0
68	55
69	27
69	44
70	0
70	3
70	13
70	27
70	33
70	44
70	47
70	55
70	65
70	66
70	72
70	76
70	95
70	96
70	101
70	104
70	105
70	108
70	114
70	117
70	127
70	131
71	13
71	114
72	3
72	13
72	27
72	44
72	47
72	70
72	76
72	95
72	101
72	108
72	114
72	117
72	118
72	138
73	0
74	13
74	55
74	105
75	55
76	0
76	7
76	13
76	21
76	24
76	39
76	44
76	55
76	67
76	72
76	73
76	78
76	83
76	99
76	101
76	114
76	121
76	127
76	128
76	131
76	138
77	17
77	102
78	0
78	13
78	39
78	42
78	44
78	55
78	57
78	101
78	110
78	114
78	130
79	78
80	19
80	39
81	5
81	8
81	24
81	27
81	29
81	33
81	38
81	44
81	45
81	50
81	51
81	56
81	61
81	64
81	70
81	82
81	90
81	91
81	92
81	101
81	108
81	109
81	113
81	114
81	117
81	121
81	131
82	27
82	44
82	61
82	62
82	81
82	101
83	5
83	7
83	26
84	91
85	49
86	117
87	96
87	114
88	24
88	61
88	99
88	121
89	33
89	121
90	51
90	57
90	91
91	5
91	27
91	50
91	51
91	84
92	81
93	72
94	55
95	0
95	3
95	13
95	27
95	39
95	44
95	47
95	50
95	55
95	57
95	70
95	72
95	101
95	110
95	112
95	114
95	117
95	123
95	127
96	3
96	13
96	44
96	49
96	70
96	98
96	114
96	133
97	47
97	81
98	44
99	24
99	61
99	127
100	76
101	0
101	3
101	5
101	7
101	10
101	12
101	13
101	17
101	27
101	33
101	39
101	41
101	44
101	46
101	47
101	49
101	50
101	52
101	55
101	57
101	63
101	65
101	70
101	72
101	76
101	78
101	79
101	81
101	93
101	95
101	96
101	104
101	107
101	108
101	109
101	110
101	112
101	113
101	114
101	117
101	118
101	126
101	131
101	134
101	138
102	17
102	44
102	55
102	77
103	13
103	44
103	81
103	114
104	13
104	27
104	55
104	70
104	109
104	114
105	13
105	17
105	44
105	55
105	57
105	58
105	70
105	72
105	74
105	85
105	101
105	108
105	114
105	119
105	138
106	0
107	44
107	101
107	133
108	13
108	27
108	33
108	44
108	50
108	81
108	95
108	101
108	114
108	117
108	131
109	5
109	29
109	50
109	61
109	63
109	64
109	81
109	82
109	101
110	13
110	27
110	44
110	70
110	72
110	95
110	103
111	114
111	119
112	13
112	44
112	114
113	101
114	0
114	3
114	5
114	10
114	13
114	15
114	17
114	26
114	27
114	32
114	39
114	40
114	44
114	45
114	46
114	47
114	49
114	50
114	53
114	55
114	57
114	69
114	70
114	71
114	72
114	74
114	75
114	76
114	78
114	81
114	82
114	87
114	95
114	101
114	105
114	110
114	111
114	116
114	117
114	121
114	123
114	127
114	138
115	122
116	13
116	18
116	44
116	101
116	114
117	3
117	5
117	10
117	13
117	44
117	47
117	50
117	55
117	61
117	70
117	72
117	78
117	101
117	114
117	116
117	118
117	120
118	44
118	114
118	117
119	13
119	17
119	20
119	49
120	44
121	5
121	24
121	27
121	33
121	39
121	43
121	44
121	55
121	61
121	76
121	88
121	99
121	114
121	130
122	102
123	24
123	39
123	44
123	55
123	76
124	5
124	61
125	27
126	67
126	114
127	0
127	11
127	24
127	26
127	39
127	55
127	62
127	67
127	73
127	76
127	96
127	106
127	114
128	0
128	52
128	114
129	44
129	101
130	19
130	39
130	61
130	121
131	0
131	5
131	27
131	44
131	47
131	50
131	51
131	55
131	81
131	90
131	101
131	108
131	110
131	125
132	44
132	66
132	70
133	0
133	37
133	40
133	44
133	55
133	61
133	72
133	101
134	117
135	13
135	44
136	13
136	18
137	105
138	13
138	17
138	44
138	58
138	102
138	105
138	114
