1. Cmaj7 Dm7.5- G7 Em7 Ebmaj7 Gm7.5- C7 Bb7 Ebmaj7 Dmaj Dbmaj7 Cmaj7 Bm7.5- E9- Am7 D9- G9- Cmaj7 Bb13 A7.5+ D9 G7 Bdim Am Bm7.5- E9- A7 Dm7 G9- Cmaj7 Am7 Dm7 G7 C F D7 Db7 D7 G7 C Dm7 G7 C B7 E7 Am Em7 A7 D9 Dm7 Bb Dm7 G7 Em7.5- A7 Dm7 G7 C F6 C6 Am7 Dm7 C Am7 Dm7 G7 C6 F9 Cm7 Fm7.5- Bb7 Ebmaj7 Dm7 G7 Cmaj7 C7 A13 Ab13 Gm7 Gbdim7 Cmaj7 C7 C7.5+ F C G7 C Ebdim7 Dm7 G7 Cmaj7 Gm7 C7 Fm C Am7 B7 Em7 A7 D7 D7 
2. Cmaj7 Em7.5- A7 Ebm7 Ab7 D7 Dm7 G7 G7.5+.9 C Eb Am7 Dm7 Db7.5- Cmaj7 Am7 Dm7 G7 Cmaj7 Dbdim7 Dm7 Db7.5- Cmaj7 Am7 Bb9 Dm7 G7 Em7 Eb7 Dm7 G7 C6 Am7 Dm7 G7 Cmaj7 Bb13 Em7 Am7 Dm7 G7 C7 Fm C G7 Dm G7 Cmaj7 C7 F6 C6 Em7 Cm7 Fm7 Bb7 Eb Dbm7 Gb7 B D7 Db7 Cmaj7 Fmaj7 B7 Em C F A7 Dm7 G7 Cmaj7 F9 C E7 Am F6 C6 G7 C Fmaj7 Gbm7.5- B7 C6.9 Am7 Gbm7.5- B7 Em Dm7 Ab7 Dbmaj7 C6.9 Am7 Dm9 G7 C B7 Abm7 Gbm7 B7 E E 
3. Cmaj7 Am7 Bm7.5- Bb7 Cmaj7 Cdim7 F C Dm7 G7 Cmaj7 Gm7 C7 Fmaj7 D7 G7 Gm6 D7 Dm7 Bb9 A7.5+.9 A7.5+.9- Ab9 Cmaj7 Gbm7 B7 E Fdim7 Gbm7 B7 Bm7 E7 Eb7 E7 Am6 D9 Dm7 G7 C Gbm7.5- B9- Em7.5- A9- Dm7 G7 C6 Cm7 F7 Am6 A7 D7 Dm7 G7 Em7 A7 Dm7 Fm7 Bb7 Ebmaj7 Dmaj Dbmaj7 Bm7 Cdim7 A7 D7 Dm7 G7 C A7.9-.5+ Dm7 G7 C7 Fmaj7 A7.5+ Dm7 G9 Gaug C Dbdim7 Dm7 G7 C C7 Dm7 Ab7 Db Ab Eb9 D7 Am D7 Dm7 G7 Cmaj7 Am7 C Am7 Dm7 G7 Bm7.5- Bm7.5- 
4. Cmaj7 E7 Cmaj7 Dbdim7 Dm7 G7 Gm7 C7 Bb7 Am6 Dm6 Dm7.5- G7 C D7 Gm7 C7 F Am7.5- Gm7 C7 F A7 Dm7 Dbmaj7 Cmaj7 Em7 Ebm7 Ab7 Dm7 Ab11+ Dm7 G7 Em7 Eb7 E7 Am F C G7 Cmaj7 Gb7 Bmaj7 Ddim7 Dbm7 Gb7 Gb7.5+ B7 Bm7.5- E9- Am B7 F7.5- E9 E9- Am F B7 Em C Ab7 Eb7 Ab7 C F7 Cm Fm7.5- Bb7 Am7 Dm9 G9 C A9- D7 G7 Cmaj9 C6 Am7 Dm7 Db7 Cmaj7 Dm7 G7 Cmaj7 F7 G7 C F C Dm7 Dbm7 Gb9 Dbm7 Gbm7 F7.5- E9 E9- Am7 Gm7 C7 C7 
5. Cmaj7 Dm7 G7.5+ C Dbdim G7 Bm7 E7 A Bm7 E7 Adim7 Amaj7 Bm7 E7 Am G Dbm7 Gb7 Dm7 G7 Cmaj7 Fmaj7 Dm7 G7 C6 Cmaj9 Gm7 C7 Fmaj7 Bm7.5- E7.5- Bm11 E9 E9- Am D7 Fdim7 Em7 Am Am7.5+ Am7 Dm7 Em7 Am7 D9- Gmaj7 Cmaj7 Bm7.5- E7 Am Am7 Bbm7 Eb9 Eb9- Ab6 Abaug Ab6 Ab Fm7 Bb7 Cmaj7 G7 Em7 A9- Dmaj7 Dm7 C Dbdim7 Dm C Gm7 C13 F Fm C Dm7 Ebdim7 Dm7 G7 Dm9 Db7 D7 G7 C Am7 Eb9 Abmaj7 F9- Bbm7 Eb7 Dm7 G7 C Dbdim7 Dm7 G7 C Dm7 G9 G9 
6. Cmaj7 Am7 D7 Em7.5- A7 Dm7 Em7 A7 Dm7 G7 C G7 C A7.5+ A7 Dm7 G7 Gdim7 G7 Cmaj7 F9 Dm7 G9- Cmaj7 Gbm7.5- Fm7 Em7 Cm7 F7 C6 Am7 Dm7 Bm7.5- E7 Eb7 Dm7 G7 C F Gbdim7 Cmaj7 Dbdim7 Dm7 G7 Cmaj7 Am7 Ab9 G9 C Gbm7.5- Fdim7 Gbm7 B7 Em6 Eb7.5- D7 G7 C7 Fmaj7 Dm7 Bm7.5- E9- Am Dm7 G7 C6 E7.5+.9- C6 C7 Fmaj7 Bm7.5- E9- Am6 Dm7 G7 C C7 Dm Bm7.5- E9- Am7 D7 Dm7 G7 C A7 Dm Bm7.5- E9- Am Dm7 G7 Cmaj7 C7.5+ F D9 Fm Cmaj7 C7 F7 F7 
7. Cmaj7 Bm7.5- E7 Dm7 Fm7 Bb9 Em7 A9- Dm7 G7 Cmaj7 Fmaj7 Cmaj7 Bm7.5- E7 Am7 Am6 Bbm7.5- E7.5-.9- Am6 Bb7 Em7 Am D7 Dm7 C A9- Dm7 Gm7 C7 Fmaj7 Fm7 Bb7 Am6 Bb7 Ebmaj7 Edim7 Fm7 C F A7 Dm7 G7 G7.5+ C Ebdim7 C Am7 Dm7 A9 Dm7 G7 C Dbdim7 Dm7 G9- Cmaj7 Dm7 G7 Cmaj7 Gm7 C7 Fm C A9+ D9- G9- Cmaj7 Dm7.5- G7.5+ C A7 D7 Am7 Dm7 G7 C Gm7 C7 Em Em7.5+ Em7 A9- Dm7 G7 Dm7 Abdim7 Gm7 C7 Em7.5- A9- D7 G Bb7 Am6 Am Em7.5- A9- Dm7 G9 G9 
8. Cmaj7 F7 E7 Dm G7 C6 Dm7 G9 Abdim7 Am7 D A D A D Fmaj7 Bm7.5- E7 Am Am7.5+ Am7 D9- Gm9 C7 F Em Em7 Ebm7 Dm7 G7 C C7 C7.5+ Fmaj7 Bm7.5- Em7 A7 D7 G7 G7.5+.9 C Gm7 C7 F Gbdim7 Gsus4.7 Em7 Am Bm7.5- E7 Gm7 C7 F7 Bm E7 Am Em7 Ebdim7 Dm7 G7 C7 Dm7 G9- C F Fm6 G7 C6 A7 D7 Dm7 G7 Cmaj7 Dm7 G9- C Gbdim7 C Bm7 E7 Am Em G7 Cmaj7 G7 Em7 Ebdim7 Em7 Eb7 Bb7 Ebmaj7 Dmaj Dbmaj7 Cmaj7 Gm7 C7 Bm7.5- E7 A D D 
9. Cmaj7 Ebmaj7 Dmaj Dbmaj7 Cmaj7 Bm7.5- E7 Adim7 Dm7 G7 Em7 Eb7 Ab Dm7 C Ab7 Dbmaj7 Cmaj7 C6 F7 E7 A7 Bm7.5- Bb7 Am7 Dm7 G7 G7.5+ Abmaj7 Ab6 Fm7 Bb7 A7 Dm7 G7 C F9 Dm7 G7 Em7 A7 D7 Am E7 A7.5+ Dm7 G7 Em7 A7 Dm7 G7 C Eb Cm7 F7 Bbmaj7 Bm7.5- E7 A7 Ab7 C6 F9 Em7 A7.5-.9- D9 Gmaj9 E9 Bb9 Eb Am7 Bb9 A7.5+.9 Dm7 G7 C Dbdim7 Dm7 Em7 A7 Bm7.5- E7 Am Bm7.5- E7 Eb7 Dm7 G7 C Bm7.5- E7 Am Dm7 Am Am5+ Am6 A9 Dm7 G7 Dm7 G9- G9- 
10. Cmaj7 Ebm7 Ab7 Dm7.5- Bm7.5- E9- Em7.5- A9- Dm7 G7 Dm7 G7 Dm7 G7 C Am7 Dm7 G7 C A7 Dm7 G7 Em7 Am7 Dm7 G9- Dm7 Em7 A7 Dm7 G9- C Dm7 E7.5- Am7 Gm7 C7 Fmaj7 Bm7.5- E9- Am7 D7 C G7 C Em7.5- A9- Dm7 G9- C6 Dm7 G7 Em7 A7 Dm7 G7 Em7 Am E7 A7 Dm Fm C Em7.5- A9- Dm7 G9- C Am E7 Eb7 Am7.9 D7 D9- Dbmaj7 C6 Cmaj7 C6 C Dm7 G7 C Em7.5- A7 Dm7 G7 C6.9 Am7 Gbm7.5- Bm7 E7 Am Em6 Eb7.5- D7 G7 C G7 C Dm7 Dm7 
11. Cmaj7 Dm7 G7 C F6 Bb7 Cmaj7 Am7 Em7 A7 Ebm7 Db7 D7 Dm7 Db7 D7 Am7 D7 Dm7 Gm7 C7 Fmaj7 Gbdim7 Cmaj7 C6 Cmaj7 Dm7.5- G9- Dbm7.5- Gb7 B Fm7 Bb7 Ebmaj7 A9 Dm7 G7 Am Em A9- Dm7 G7 Bm7.5- E7 Am Dm7 G7.5+ C9 Fmaj7 Am7.5- D7 A7 Dm7 G7 C A7 D7 Gmaj7 G7 Dm7 G7 Em7 A7.5+ D7 Fmaj7 Dm7 G7 F7 A D A D A D Am7 D7 Dm7 G7 C F7 Bb7 Am6 Gm7 Gb7 Fdim7 Em7 Ebdim Dm7 G7 Dm7.5- G7.5+ C6 C7 F6 C Dm7 Db7.5- Gm7 C7 Fmaj7 Fmaj7 
12. Cmaj7 Em7 A7 Dm7 G7 C6 F7 E7 Am7 Dm7 G7 Cmaj7 Am7 D7 Dm7.5- G7 Gm11 C7 F C A7 Dm Dm7.5- F Gbdim7 Gm11 C9 F G7 Em7 Ebdim7 Dm7 G7 C Dbdim7 G7 C C7 F C Dbmaj9 C6.9 Am7 Adim7 Amaj7 Bbdim7 Bm7 E7 Am Bm7.5- E7.5+.9+ Am11 Gb9+ B7.5+.9+ Em7 Eb7 E7 A7 Dm7 G7 Cmaj7 C Dbdim7 Dm7 G7 Em7 Am7 D7 Dm7 G9- Cmaj7 F7 Bbmaj7 A7 Dm Fm G7 G7.5+ C Cmaj7 C6 Cmaj9 Eb7 Bb7 Cmaj7 C7 C7.5+ Fmaj7 C Em7 Cm7 F7 C Ebdim7 Dm7 G7 C A7.9-.5+ Dm7 G9- G9- 
13. Cmaj7 Gm7 C9 Db9 Cmaj9 Bm7.5- E9- Em7.5- A9- Dm7 G7 C C7 F C Ab9 G9 Gaug C F9 Cm7 Gm A7 Gm A7.5+ A7 Dm7 G7 Cmaj7 E7.5+ A7 Dm G7 Em7 A9- D7.5- Dm7 G9 C Dm7 G7 C7 Fmaj7 C A Adim E7 Am A7 D7 Dm7 G7 Cmaj7 Bb13 A7.5+ A7 D7 D7.5- G7 Gm6 F7 C7 F Gm7 C7 Fm C Dm7 G7 Cmaj7 Dm7 G7 Cmaj7 Ebdim7 C Dm7 G7 Cmaj7 Am7 Adim7 Dm7 Em7 Am7 D7 Dm7 G7 Cmaj7 D9 Dm7 G7 C F Em Dm7 G7 Em7 Ebdim7 C Em7 Eb7 Eb7 
14. Cmaj7 C Ebm7 Db Gbm7 B7 Abm7 Gdim7 G7 C6 Bb6 Bbm7 Eb7 E7 Dm E7 Am7 D7 Dm7 G7 Cmaj7 Fmaj7 Fm7 Bb7 Cmaj7 Dm7 G7 C G9+ C9+ Fm7 Bb7 Am7 Gm7 C7 Fmaj7 Bm7.5- E9- Am Dm7 Fm7 Bb7 C7 Bb7 Cmaj7 Am7 D7 Fmaj7 Gbdim Em7 Am7 Fmaj7 Dm7 G7 Cmaj7 Dm7.5- G7.5+ Cmaj7 C7 Fmaj7 Cmaj7 A7 Dm7.5- G9- C A7 D9 G7 C F C9 F G7 Cmaj7 D7.5- G7 Cmaj7 Ebdim7 Em7 A7.5-.9- Dm7.5- G7.5+ C6 F9 C6 G7.5+.9 C Dm7 D7 G7 C Dbdim7 Dm7 G7.5+ C A9- Dmaj7 Dm7 Ebdim7 Dm7 Dm7 
15. Cmaj7 E9+ Am7 Dm7 G7 C Em C Am Em7 Am7 D7 A7 D A Gb G13 C A7 D9 Bb6 Bbm7 Eb7.5+ Bm7 E7 Am Bm7.5- F7 E7 A E7 A7 Dm7 G7 Gm7 C13 F Fm Cmaj7 E7 Adim7 Dm7 G7 Cm7 Cm Fm7 Bb7 Em7 Gbm7.5- B9- Em7 A7 Dm7 G7 Am Gbm7.5- B7 E Am Bm7.5- E9- Am Dm7 G7 C7 F7 Bbm7 Eb7 Bbm7 Eb7 Abmaj7 F9- Bbmaj7 A7.5+.9+ Dm6.9 E7.5+.9+ Bb7 Gm Bbmaj7 Bbm7 Eb7 D7 Dm7 G7 C F C Bb9 Dm7 G7 C Dm7 G7 Bdim Am Em7 Am7 Dm7 G7 C C 
16. Cmaj7 B9 E A7 Dm7 G7 C Am7 D7 F7 D7 Gmaj7 G7 Cmaj7 Dm7 Bb9 Em7 A7 Dm7 G7 C F Fm C Am7 D7 Db7 D7 Gbm B7 G7 C A7 Dm G7 Cmaj7 Ebm7 Dm7 G7 C Ebdim7 C G7.5+.9 C C7 F C F7 Em7 Cm7 Am7.5- D7 G7 Gm7 C7 Fmaj7 Fm C Dbdim7 Dm G7 C C7 Gbm7.5- B9- Em7 A7.5- Abmaj7 Dm7.5- G7 C Ebdim7 C A7 Ebm7 Ab7 C F6 Dm7 G9- C Abdim Am Em7 A7 Dm7 G7 C Em7.5- A9- Dm7 G7 A7 Dm7 Em7 A9 Dm7 G7 Em7 Eb7 Eb7 
17. Cmaj7 Dm7 G7 C A7 D A D A E7 Am7 B7 E7 A7 Dm Am Em7 A7 D7 Dm7 G7.5+ Cmaj7 Fmaj7 G7 C G9 G9- C Gm7 C7 Fmaj7 F6 Gbdim7 Cmaj7 Am7 Adim7 Dm7 G9- Cmaj7 Gm7 C9 Fmaj9 Bbmaj9 Gbm9 B9- Bm7.5- E9- Am G C Am7 D9 Db9 Cmaj9 Am7 Dm7 G7 Em7 A7 Dm G7 G7.5+.9 C E7 Am A7 Dm7 G7 C E7 A7 Dm7 E7.5- E7 Am7 Gm7 C7 A7 Fm6 Cmaj7 Dm7 C Fm6 C E7 Am Bm7 E7 Am7 D9 Dm7 G7 C G7 Dm7 G7 C6 D7.5- D7 G7 G7 
18. Cmaj7 C E7 Am7 Dm7 C Ebdim7 G7 Cmaj7 Am7 Dm9 Db7 D7 G7 Cmaj7 F7 Em7 Gbm7.5- B7 Db Cmaj7 Ebdim7 Dm A7 Dm7 Am Am7 D7 G7 C6.9 Am7 D7 G7 C Am7 D9 Dm7 G7 Em7 F C Ab7 C6 C G7.5+ Cm Fm7 Bb9 A7.5+.9 Dm7 G7 C Ab7 Dbmaj7 Dm7.5- G7 Cm Cm7 Gm A7.5+ D9 Dm7 G7 C Em7.5- A9- Dm7 Bb7 Am6 F9 Dm7 G7 C6 F6 C G7 Dm7 G7 C Am7 D7 G7 Cmaj7 Am7 D7.5- G7 Cmaj7 Dm7 Em7 Dm7 Gbm7 Fmaj7 Fm7 Bb7 Cmaj7 Fmaj7 Em7.5- A7 Dm7 G9- G9- 
19. Cmaj7 Am7 Em7 Eb7 Abmaj7 G7 Gaug C G9 C6 Ebdim Dm7 G7 C Bm7.5- E7 A7 Dm7 G7 C6 Dm7 G7 C F6 Am7 Am Dm E7 Am Em7 Ebdim7 Dm7 G7 C Am9 Dm7 G7 Em7 A7 G6 Am7 Dm7 G7 Dm7 G7 C6 Dbdim7 Dm7 Em7 Am7 Dm7 G7 Bdim Am Gbm7 Am7 Dm7 G7 Em7 A7 Dm7 Db9+ C6 E7 A7 D A D A Bm7 E7 Eb7 A7.5- Abmaj7 Dbmaj7 Cmaj7 F7 Gmaj7 B9- E7.5+ A9 Dm7 G7 C6 D7 Dm7.5- Cm Fm7 G7 Cmaj7 Gbm7.5- B7 Em7 Fm7 Em7 Am7 C7 F Gm7 C7 C7 
20. Cmaj7 C7 Fmaj7 Bm7.5- E7 A7.5+ D9 Dm7 G7 C F Gm7 C7 Fmaj7 Am7.5- D9- G7 C Ebdim7 Em7 A9 D A E7 Eb7 Abmaj7 E7.5+ Fmaj7 Em7 A7 Fm6 C F7 D7 E7 Am Gbm7 B7 Em C Dm7 G7 C E7 Am E7 Am Am7 Gbm7.5- B9- E9- Am7 Dm7 G7 Cmaj7 Dbdim7 Dm7 G7 C Em B9- Em G7 C7 F Em C Eb7 Dm7 G9- Gbm7.5- B7 Em7 C11 C7 Gbm7 B7 E B7 Em7 A9- Dm Ebdim7 Dm7 G9 Cmaj9 C6 Am7 D7 Gmaj7 Cmaj7 G7 C G7 C6 Am7 Am A7 Dm7.5- G7 G7 
21. Cmaj7 F7 C E7 Em7.5- A9- Dm7 Fm7 Dm7 G7 C7 F B7 E A7 Dm7 G7 C Am7 D9 Abdim7 Am7 Dm9 G7 Gm6 G7 Fmaj7 Bm7.5- E7 Fmaj7 Fdim7 Gbm7 B7 E Dbm7 Gb7 Bmaj7 Ddim7 D7 G9 F9 D9 G7 Dm7 Dm7.5- G7 Cmaj7 C6 C Eb7 E7 Am7 D7 G7 Cmaj7 Am7 Dm7 G7 Cmaj7 Bb13 A7 Dm7 G7 Abdim7 Am7 Dm7 G7 C Dm7 G7 Cmaj7 Gbm7.5- B9- E9- Am7 Gbm7.5- B9- Em Gb7 B Fm7 Bb7 Em7 A7 D7 Dm7 G7 C Gm7 C13 F Fm6 Em6 Am F9 E9- Am7 D7 Db7 Cmaj7 Cmaj7 
22. Cmaj7 Dm7.5- G9+ C9+ Fm7 Em7 A9- Dm7 G7 Cmaj7 Ebdim7 G7 C Eb7 Ab7 G7 C G7 Em7 A7 Dm7 G9- C6 Bb6.9 Am Am7.5+ Am7 C7 F Am7 A9- Dm7 Dbmaj7 Db6 C6.9 Am7 Dm7 G7 C F9 Em7 E9- Am7 Dm7 G7 Cmaj7 Dbdim7 Dm7 Em7 Dm7 G9 C Dbdim7 Dm7 G7 C7 F Gbdim Am D7 Gm7 C7 Bb7 A7 Dm7 G7 C Am7 Dm7 G9- C D9 Dm7 G7 Dm9 G7 C F7 Em7 A7 Dm7 G7 C A7 A7.5+ Dm7 G7 C Ab7 G7 C Ebdim7 Dm7 G7 C Ebdim7 Dm Am Em7 Fm6 Fm6 
23. Cmaj7 Fmaj7 E9- A7.5+ D7 G7 C6 E7 E9- Am Em7 F G7 Gb9- B7 Em7 Eb7 Ab Fm7 Bb7 Em7 F C Am7 Gm7 C7 Fmaj7 F6 C Am C Ebdim7 Dm7 G7 C Em7 Am7 Dm7 G7 C D7 Dm7 G7 C F Gbm7 B7 Bm7 Am7 C7 C7.5+ Fmaj7 Bm7.5- E7 A7 Dm7 G9- C Em C Ebdim7 Dm7 Em7 A7 D9 Dm7 G7 C F C C7 F7 C7 Fm6 Em7 A7 B9- Emaj7 E6 Gm11 C7 Dm G7 C Dm7 G7 C Em G7 Gbm7.5- B7 E Dbm7 A9 D7.5+ G9 Abdim7 Am Am7 Dm7 Dm7 
