G7 G7sus4
G7sus4 C
C F
F Dm
Dm G
G Am
Am E7
E7 D7
D7 Am
Am G
G C
C F
F A
A D
D Gbm
Gbm E
E Am
Am C
C F
F C
C Am
Am G
G C
C F
F E
E Am
Am Dm
Dm C
C F
F Bb
Bb G
G Dm
Dm F
F Am
Am E7
E7 Am
Am D
D F
F Dm
Dm C
C F
F G
G C
C B
B A
A Db
Db Ab
Ab Bbm
Bbm Gb
Gb Db
Db B
B Ebm
Ebm Db
Db Gb
Gb B
B E
E Gbm
Gbm D
D Am
Am G
G A
A Dbm
Dbm B
B Db
Db Eb
Eb Ab
Ab Bbm
Bbm Db
Db Gb
Gb Ab
Ab Bbm
Bbm F
F Bb
Bb Eb
Eb Ab
Ab Eb
Eb C
C G
G Fadd9
Fadd9 Am
Am C
C F
F Am
Am G
G Dm
Dm C
C G
G Am
Am F
F C
C Am
Am F
F C
C Dm
Dm C
C G
G Am
Am F
F G
