Db Gb
Gb Bbm
Bbm Ab
Ab Eb
Eb Bb
Bb F
F C
C Cmaj7
Cmaj7 Am
Am C
C Fadd9
Fadd9 Dm
Dm G
G Am
Am D
D C
C Am
Am C
C G
G Am
Am F
F C
C G
G Bm
Bm A
A D
D G
G C
C D
D F
F G
G Am
Am F
F G
G Am
Am F
F Dm7
Dm7 Fm
Fm F
F C
C G
G Em
Em Dm
Dm Am
Am C
C Bb
Bb Eb
Eb Ab
Ab Cm
Cm F
F Gm
Gm Eb
Eb F
F G
G Am
Am Dm
Dm C
C G
G Am
Am C
C G
G F
F Bb
Bb Cm
Cm Eb
Eb Ab
Ab Eb
Eb Bbm
Bbm F
F Dm
Dm C
C Eb
Eb Bb
Bb C
C G
G A
A Gbm
Gbm E
E Am
Am F
F C7
C7 Am
Am G
G F
F Em
Em D
D G
G F
F C
C Bbadd9
Bbadd9 F
F C
C G
G Em
Em Dm
Dm C
C Fmaj7
Fmaj7 Em
Em G
