# Directed graph: generated_songs/random_generated_rock_song_42.txt 
# Nodes: 28 Edges: 68
# FromNodeId	ToNodeId
44	0
44	30
44	39
44	57
44	70
44	100
44	101
44	108
44	114
0	39
0	55
0	61
0	67
55	0
55	13
55	44
55	76
55	95
55	101
101	44
101	81
101	114
114	13
114	39
114	44
114	55
114	70
114	75
114	95
114	101
13	44
13	70
13	101
13	114
95	13
95	44
95	110
95	114
108	44
108	114
57	105
105	55
110	95
39	44
39	55
75	55
61	5
61	11
11	0
11	88
76	0
76	13
70	76
70	101
67	11
88	24
88	61
24	121
121	61
5	33
5	108
5	114
33	61
81	91
91	51
51	5
30	101
100	76
