# Directed graph: generated_songs/smart_generated_rock_song_6.txt 
# Nodes: 20 Edges: 100
# FromNodeId	ToNodeId
129	44
44	13
13	101
101	55
55	101
101	70
70	114
114	13
13	44
44	13
13	44
44	114
114	81
81	131
131	13
13	44
44	5
5	27
27	90
90	101
101	70
70	76
76	101
101	70
70	13
13	44
44	13
13	44
44	13
13	44
44	114
114	13
13	44
44	114
114	17
17	105
105	114
114	13
13	114
114	101
101	70
70	101
101	70
70	101
101	55
55	101
101	70
70	13
13	44
44	101
101	55
55	101
101	70
70	101
101	55
55	13
13	114
114	13
13	114
114	44
44	13
13	44
44	13
13	112
112	114
114	13
13	44
44	114
114	114
114	44
44	114
114	13
13	39
39	112
112	44
44	114
114	0
0	55
55	70
70	96
96	44
44	70
70	66
66	101
101	44
44	70
70	101
101	17
17	13
13	44
44	13
13	44
44	13
13	44
44	114
114	44
44	17
17	114
114	101
101	70
