Gbm Bm
Bm D
D Em
Em F
F D
D C
C Dm
Dm Dm7
Dm7 C
C G7
G7 Abdim
Abdim Am
Am F
F Fm
Fm Cm
Cm Ab
Ab Db
Db Bbm
Bbm Gbadd9
Gbadd9 Ab
Ab Bbm
Bbm Gb
Gb Ab
Ab Bbm
Bbm F
F Dm
Dm Gm
Gm Bb
Bb C
C F
F Fm
Fm Gm
Gm Cm
Cm Bb
Bb Eb
Eb Gm
Gm Cm
Cm Bb
Bb F
F Am
Am G
G D
D Am
Am F
F C
C G
G Am
Am E
E A
A B
B C
C G
G Am
Am F
F Dm
Dm Bbm
Bbm Eb
Eb Ab
Ab Bbm
Bbm F
F Eb
Eb Bb
Bb C
C G
G F
F Bb
Bb C
C G
G Am
Am G
G C
C F
F Am
Am E
E C
C A
A G
G D
D C
C G
G C
C G
G Am
Am Dm
Dm G
G G7
G7 F
F G7sus4
G7sus4 C
C F
F Em
Em Am
Am C
C Fmaj7
Fmaj7 Am
Am C
C F
F C
C Eb
